Year,County,Hospital,OSHPDID,system,Type of Report,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Latitude,Longitude
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,PCI,,,,,37.76266,-122.253
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Ischemic,3,102,6.1,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pancreatic Resection,,,,,37.76266,-122.253
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Subarachnoid,,,,,37.76266,-122.253
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Carotid Endarterectomy,0,3,0,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pneumonia,5,98,6.1,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Heart Failure,5,137,3.4,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,GI Hemorrhage,0,85,0,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke,5,107,11.6,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Hemorrhagic,2,5,29.3,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,AMI,0,10,0,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Hip Fracture,0,31,0,As Expected,37.76266,-122.253
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,AMI,1,26,2.3,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,PCI,,,,,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,GI Hemorrhage,3,206,1.4,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke,14,213,5.8,Better,37.85645,-122.257
